"","Anno","Occupancy","Lower","Upper"
"1",2005,0.438163234650627,0.42229261120581,0.455074748395018
"2",2006,0.42491731159832,0.413335198900188,0.437260212125368
"3",2007,0.412952069332602,0.403551799930772,0.422933302311304
"4",2008,0.40463957627174,0.396292652350817,0.41342499232613
"5",2009,0.397757440388723,0.390001997492114,0.405965892748683
"6",2010,0.392665504156952,0.385127210891018,0.400570915704984
"7",2011,0.387523188150239,0.380218859107742,0.395181828601658
"8",2012,0.385459001939694,0.378172465173691,0.393065782049022
"9",2013,0.38188020925175,0.374664083348029,0.3893537324399
"10",2014,0.381447207037756,0.374348932189111,0.388800087188229
"11",2015,0.378089656929016,0.37135813397598,0.385170292325477
"12",2016,0.372644970839293,0.365897184832514,0.379726976756337
"13",2017,0.371614347198548,0.364928358052993,0.378599888647244
"14",2018,0.372324954120053,0.365762051241861,0.37922109726549
"15",2019,0.372042111587872,0.365517006276247,0.378954230751648
"16",2020,0.3669410973308,0.360321727829047,0.373904649712312
"17",2021,0.366309214522229,0.359771181841338,0.373199589529576
"18",2022,0.359780455468695,0.353238885296865,0.366636213810355
"19",2023,0.361323941822268,0.35492534173214,0.368084616992236
"20",2024,0.361277363062235,0.35471823083002,0.368243623177049
"21",2025,0.359823912432977,0.353028953675948,0.36710517480097
