"","species","range_min","range_max","tau","Ptau","sens","Psen","m","occupancy_2005","occupancy_2025","trend"
"1","Aeshna affinis",0.16,0.53,-0.792,0,-0.02,0,-0.017,0.5,0.23,"decrease"
"2","Aeshna cyanea",0.45,0.66,-0.957,0,-0.01,0,-0.009,0.66,0.45,"decrease"
"3","Aeshna isoceles",0.18,0.61,-0.939,0,-0.023,0,-0.021,0.58,0.2,"decrease"
"4","Aeshna mixta",0.49,0.55,-0.506,0.001,-0.002,0.001,-0.001,0.53,0.51,"decrease"
"5","Anax ephippiger",0.09,0.5,0.922,0,0.017,0,0.017,0.1,0.5,"increase"
"6","Anax imperator",0.38,0.78,0.567,0,0.001,0,0.005,0.74,0.77,"increase"
"7","Anax parthenope",0.52,0.71,0.697,0,0.009,0,0.008,0.57,0.71,"increase"
"8","Boyeria irene",0.09,0.17,0.377,0.015,0.002,0.015,0.002,0.12,0.17,"increase"
"9","Calopteryx splendens",0.78,1,-0.732,0,-0.004,0,-0.006,0.9,0.79,"decrease"
"10","Calopteryx virgo",0.45,0.57,-0.827,0,-0.005,0,-0.005,0.56,0.45,"decrease"
"11","Ceriagrion tenellum",0.21,0.27,-0.212,0.176,-0.001,0.176,0,0.24,0.23,"stable"
"12","Chalcolestes viridis",0.44,0.79,-0.965,0,-0.014,0,-0.015,0.79,0.44,"decrease"
"13","Coenagrion puella",0.42,0.92,-0.974,0,-0.013,0,-0.018,0.8,0.42,"decrease"
"14","Coenagrion pulchellum",0.03,0.74,-1,0,-0.02,0,-0.027,0.6,0.03,"decrease"
"15","Coenagrion scitulum",0,0.16,0.991,0,0.007,0,0.007,0.01,0.16,"increase"
"16","Cordulegaster boltonii",0.23,0.58,-0.922,0,-0.007,0,-0.011,0.47,0.23,"decrease"
"17","Cordulia aenea",0.17,0.56,-0.307,0.048,-0.004,0.048,-0.01,0.42,0.2,"decrease"
"18","Crocothemis erythraea",0.55,0.82,0.87,0,0.007,0,0.009,0.63,0.81,"increase"
"19","Enallagma cyathigerum",0.18,0.25,0.307,0.048,0.001,0.048,0.001,0.21,0.24,"increase"
"20","Erythromma lindenii",0.26,0.66,-0.143,0.367,-0.001,0.367,-0.008,0.5,0.28,"stable"
"21","Erythromma viridulum",0.16,0.27,0.61,0,0.002,0,0.003,0.18,0.26,"increase"
"22","Gomphus vulgatissimus",0.13,0.34,0.602,0,0.004,0,0.006,0.2,0.32,"increase"
"23","Ischnura elegans",0.8,0.89,-0.152,0.338,0,0.338,0.001,0.84,0.86,"stable"
"24","Ischnura pumilio",0.39,0.7,-0.861,0,-0.013,0,-0.012,0.62,0.43,"decrease"
"25","Lestes dryas",0.02,0.07,-0.758,0,-0.002,0,-0.002,0.06,0.02,"decrease"
"26","Lestes sponsa",0.13,0.94,-0.974,0,-0.012,0,-0.019,0.41,0.13,"decrease"
"27","Lestes virens",0.13,0.63,-0.991,0,-0.01,0,-0.015,0.39,0.13,"decrease"
"28","Libellula depressa",0.45,0.53,-0.472,0.002,-0.002,0.002,-0.002,0.5,0.49,"decrease"
"29","Libellula fulva",0.34,0.51,-0.879,0,-0.008,0,-0.007,0.5,0.34,"decrease"
"30","Libellula quadrimaculata",0.17,0.32,-0.654,0,-0.006,0,-0.006,0.3,0.2,"decrease"
"31","Onychogomphus forcipatus",0.57,0.66,0.455,0.003,0.003,0.003,0.003,0.63,0.64,"increase"
"32","Onychogomphus uncatus",0.14,0.16,0.749,0,0.001,0,0.001,0.14,0.16,"increase"
