"","species","range_min","range_max","tau","Ptau","sens","Psen","m","occupancy_2005","occupancy_2025","trend"
"33","Ophiogomphus cecilia",0.08,0.27,-0.914,0,-0.011,0,-0.011,0.26,0.09,"decrease"
"34","Orthetrum albistylum",0.72,0.85,-0.829,0,-0.005,0,-0.005,0.83,0.75,"decrease"
"35","Orthetrum brunneum",0.47,0.57,0.6,0,0.004,0,0.003,0.5,0.52,"increase"
"36","Orthetrum cancellatum",0.62,0.75,0.705,0,0.007,0,0.007,0.63,0.71,"increase"
"37","Orthetrum coerulescens",0.65,0.83,-0.971,0,-0.006,0,-0.006,0.83,0.65,"decrease"
"38","Oxygastra curtisii",0.06,0.17,1,0,0.006,0,0.006,0.06,0.17,"increase"
"39","Platycnemis pennipes",0.78,0.95,-0.2,0.216,-0.001,0.216,-0.003,0.88,0.78,"stable"
"40","Pyrrhosoma nymphula",0.23,0.44,-0.857,0,-0.011,0,-0.008,0.39,0.25,"decrease"
"41","Selysiothemis nigra",0.03,0.06,1,0,0.001,0,0.001,0.03,0.06,"increase"
"42","Somatochlora flavomaculata",0.09,0.41,-0.971,0,-0.008,0,-0.012,0.35,0.09,"decrease"
"43","Somatochlora metallica",0.19,0.7,-0.99,0,-0.029,0,-0.027,0.69,0.19,"decrease"
"44","Stylurus flavipes",0.17,0.22,-0.648,0,-0.002,0,-0.002,0.22,0.17,"decrease"
"45","Sympecma fusca",0.17,0.62,-0.324,0.043,-0.012,0.043,-0.015,0.56,0.28,"decrease"
"46","Sympecma paedisca",0.02,0.11,0.952,0,0.005,0,0.005,0.02,0.09,"increase"
"47","Sympetrum depressiusculum",0.14,0.36,-0.914,0,-0.01,0,-0.009,0.36,0.14,"decrease"
"48","Sympetrum fonscolombii",0.35,0.82,0.676,0,0.005,0,0.01,0.56,0.81,"increase"
"49","Sympetrum meridionale",0.07,0.31,-0.848,0,-0.006,0,-0.008,0.23,0.07,"decrease"
"50","Sympetrum pedemontanum",0.36,0.72,-0.943,0,-0.01,0,-0.013,0.66,0.36,"decrease"
"51","Sympetrum sanguineum",0.31,0.62,-0.914,0,-0.014,0,-0.014,0.6,0.32,"decrease"
"52","Sympetrum striolatum",0.44,0.7,0.848,0,0.014,0,0.012,0.47,0.68,"increase"
"53","Trithemis annulata",0,0.68,1,0,0.024,0,0.028,0,0.68,"increase"
